Pair,Delta (mHz)
2.226541-1.000004,1.226537
2.277959-1.000004,1.277955
2.312923-1.000004,1.312919
2.316890-1.000004,1.316885
2.381089-1.000004,1.381084
2.416200-1.000004,1.416195
2.442496-1.000004,1.442492
2.447197-1.000004,1.447193
2.473934-1.000004,1.473930
2.494061-1.000004,1.494057
1.005587-1.001620,0.003966
1.006028-1.001620,0.004407
1.012051-1.001620,0.010431
1.019249-1.001620,0.017629
1.023510-1.001620,0.021889
1.025273-1.001620,0.023652
1.028798-1.001620,0.027178
1.035850-1.001620,0.034230
1.039670-1.001620,0.038049
1.043636-1.001620,0.042016
1.044958-1.001620,0.043338
1.052744-1.001620,0.051124
1.054948-1.001620,0.053328
1.056858-1.001620,0.055238
1.057739-1.001620,0.056119
1.061118-1.001620,0.059498
1.061559-1.001620,0.059938
1.063615-1.001620,0.061995
1.072136-1.001620,0.070516
1.074928-1.001620,0.073307
1.077278-1.001620,0.075658
1.078306-1.001620,0.076686
1.083742-1.001620,0.082122
1.085211-1.001620,0.083591
1.086239-1.001620,0.084619
1.090353-1.001620,0.088732
1.096523-1.001620,0.094903
1.098873-1.001620,0.097253
1.104456-1.001620,0.102836
1.112242-1.001620,0.110622
1.115033-1.001620,0.113413
1.119000-1.001620,0.117380
1.120763-1.001620,0.119142
1.121204-1.001620,0.119583
1.121644-1.001620,0.120024
1.126051-1.001620,0.124431
1.131487-1.001620,0.129867
1.131781-1.001620,0.130161
1.136335-1.001620,0.134715
1.141183-1.001620,0.139563
1.143093-1.001620,0.141473
1.147500-1.001620,0.145880
1.157049-1.001620,0.155429
1.167920-1.001620,0.166300
1.171593-1.001620,0.169973
1.177616-1.001620,0.175996
1.178351-1.001620,0.176731
1.179085-1.001620,0.177465
1.190691-1.001620,0.189071
1.204647-1.001620,0.203027
1.206704-1.001620,0.205084
1.208320-1.001620,0.206700
1.214490-1.001620,0.212870
1.218751-1.001620,0.217130
1.219926-1.001620,0.218306
1.220660-1.001620,0.219040
1.221542-1.001620,0.219922
1.228006-1.001620,0.226385
1.228300-1.001620,0.226679
1.241521-1.001620,0.239901
1.245341-1.001620,0.243721
1.249454-1.001620,0.247834
1.255184-1.001620,0.253564
1.255918-1.001620,0.254298
