Pair,Delta (mHz)
1.415608-1.265027,0.150581
1.416783-1.265027,0.151756
1.421778-1.265027,0.156751
1.422659-1.265027,0.157632
1.423247-1.265027,0.158220
1.423541-1.265027,0.158514
1.442198-1.265027,0.177171
1.467907-1.265027,0.202880
1.468495-1.265027,0.203468
1.469523-1.265027,0.204496
1.476134-1.265027,0.211107
1.477897-1.265027,0.212870
1.483626-1.265027,0.218599
1.491853-1.265027,0.226826
1.493469-1.265027,0.228442
1.496848-1.265027,0.231821
1.499639-1.265027,0.234612
1.500961-1.265027,0.235935
1.504046-1.265027,0.239020
1.504487-1.265027,0.239460
1.504781-1.265027,0.239754
1.505369-1.265027,0.240342
1.510951-1.265027,0.245924
1.513449-1.265027,0.248422
1.543271-1.265027,0.278244
1.545915-1.265027,0.280888
1.547091-1.265027,0.282064
1.547972-1.265027,0.282945
1.548853-1.265027,0.283827
1.550029-1.265027,0.285002
1.550469-1.265027,0.285443
1.551645-1.265027,0.286618
1.552232-1.265027,0.287206
1.552526-1.265027,0.287499
1.553114-1.265027,0.288087
1.564866-1.265027,0.299840
1.577500-1.265027,0.312474
1.578235-1.265027,0.313208
1.588078-1.265027,0.323051
1.588959-1.265027,0.323933
1.589400-1.265027,0.324373
1.589841-1.265027,0.324814
1.590281-1.265027,0.325255
1.590575-1.265027,0.325549
1.592044-1.265027,0.327018
1.593660-1.265027,0.328634
1.599684-1.265027,0.334657
1.603209-1.265027,0.338183
1.603944-1.265027,0.338917
1.611143-1.265027,0.346116
1.613346-1.265027,0.348319
1.623630-1.265027,0.358603
1.630681-1.265027,0.365655
1.631269-1.265027,0.366242
1.631857-1.265027,0.366830
1.632885-1.265027,0.367858
1.633472-1.265027,0.368446
1.634648-1.265027,0.369621
1.636411-1.265027,0.371384
1.636851-1.265027,0.371825
1.637145-1.265027,0.372118
1.637586-1.265027,0.372559
1.638467-1.265027,0.373441
1.640818-1.265027,0.375791
1.652717-1.265027,0.387691
1.664764-1.265027,0.399737
1.667261-1.265027,0.402235
1.672550-1.265027,0.407523
1.672991-1.265027,0.407964
1.673285-1.265027,0.408258
1.673725-1.265027,0.408699
1.674313-1.265027,0.409286
1.674754-1.265027,0.409727
1.675048-1.265027,0.410021
1.677251-1.265027,0.412224
1.678427-1.265027,0.413400
1.689738-1.265027,0.424712
1.694586-1.265027,0.429560
1.700610-1.265027,0.435583
1.707514-1.265027,0.442488
1.716770-1.265027,0.451743
1.717063-1.265027,0.452037
1.717504-1.265027,0.452477
1.717798-1.265027,0.452771
1.718385-1.265027,0.453359
1.720589-1.265027,0.455562
1.721617-1.265027,0.456591
1.722205-1.265027,0.457178
1.722646-1.265027,0.457619
1.724115-1.265027,0.459088
1.744829-1.265027,0.479802
1.751587-1.265027,0.486560
1.756729-1.265027,0.491702
1.757022-1.265027,0.491996
1.757463-1.265027,0.492436
1.757757-1.265027,0.492730
1.758051-1.265027,0.493024
1.758491-1.265027,0.493465
1.759079-1.265027,0.494052
1.759667-1.265027,0.494640
1.759961-1.265027,0.494934
1.760401-1.265027,0.495374
1.799626-1.265027,0.534599
1.800213-1.265027,0.535187
1.800654-1.265027,0.535627
1.800948-1.265027,0.535921
1.801389-1.265027,0.536362
1.801682-1.265027,0.536656
1.802123-1.265027,0.537096
1.802564-1.265027,0.537537
1.804180-1.265027,0.539153
1.804621-1.265027,0.539594
1.805208-1.265027,0.540182
1.805502-1.265027,0.540475
1.805796-1.265027,0.540769
1.806090-1.265027,0.541063
1.806530-1.265027,0.541504
1.809469-1.265027,0.544442
1.834296-1.265027,0.569269
1.838997-1.265027,0.573970
1.841641-1.265027,0.576615
1.842523-1.265027,0.577496
1.842964-1.265027,0.577937
1.843257-1.265027,0.578231
1.844139-1.265027,0.579112
1.845167-1.265027,0.580141
1.856773-1.265027,0.591746
1.885126-1.265027,0.620100
1.885420-1.265027,0.620393
1.885714-1.265027,0.620687
1.886008-1.265027,0.620981
1.887036-1.265027,0.622009
1.888946-1.265027,0.623919
1.889681-1.265027,0.624654
1.889974-1.265027,0.624948
1.890268-1.265027,0.625241
1.891003-1.265027,0.625976
1.921853-1.265027,0.656827
1.925526-1.265027,0.660499
1.927436-1.265027,0.662409
1.927877-1.265027,0.662850
1.928758-1.265027,0.663731
1.929052-1.265027,0.664025
1.938748-1.265027,0.673721
1.947269-1.265027,0.682242
1.969599-1.265027,0.704572
1.971949-1.265027,0.706922
1.972684-1.265027,0.707657
1.973859-1.265027,0.708832
1.974593-1.265027,0.709567
1.988403-1.265027,0.723376
1.988697-1.265027,0.723670
2.003828-1.265027,0.738801
2.011174-1.265027,0.746147
2.011614-1.265027,0.746588
2.012349-1.265027,0.747322
2.013230-1.265027,0.748204
2.015581-1.265027,0.750554
2.049663-1.265027,0.784637
2.056274-1.265027,0.791248
2.060388-1.265027,0.795361
2.061122-1.265027,0.796096
2.091239-1.265027,0.826212
2.095499-1.265027,0.830472
2.098584-1.265027,0.833557
2.103432-1.265027,0.838405
2.114009-1.265027,0.848983
2.136046-1.265027,0.871019
2.168806-1.265027,0.903779
2.173801-1.265027,0.908774
2.183644-1.265027,0.918617
2.208178-1.265027,0.943151
2.215964-1.265027,0.950937
2.225807-1.265027,0.960780
2.226541-1.265027,0.961514
2.277959-1.265027,1.012932
2.312923-1.265027,1.047896
2.316890-1.265027,1.051863
2.381089-1.265027,1.116062
2.416200-1.265027,1.151173
2.442496-1.265027,1.177469
2.447197-1.265027,1.182171
2.473934-1.265027,1.208908
2.494061-1.265027,1.229034
1.273400-1.267671,0.005729
1.273988-1.267671,0.006317
1.274282-1.267671,0.006611
1.277955-1.267671,0.010283
1.278395-1.267671,0.010724
1.285153-1.267671,0.017482
1.293380-1.267671,0.025709
1.294115-1.267671,0.026443
1.294555-1.267671,0.026884
1.295731-1.267671,0.028059
1.302341-1.267671,0.034670
1.302782-1.267671,0.035111
1.309834-1.267671,0.042163
1.311303-1.267671,0.043632
1.312037-1.267671,0.044366
1.319236-1.267671,0.051565
1.326875-1.267671,0.059204
1.328344-1.267671,0.060673
1.328638-1.267671,0.060967
1.335836-1.267671,0.068165
1.336424-1.267671,0.068753
1.338922-1.267671,0.071251
1.339362-1.267671,0.071691
1.340097-1.267671,0.072426
1.341860-1.267671,0.074189
1.349352-1.267671,0.081681
1.349793-1.267671,0.082122
1.354053-1.267671,0.086382
1.376236-1.267671,0.108565
1.377705-1.267671,0.110034
1.381672-1.267671,0.114001
1.385785-1.267671,0.118114
1.386226-1.267671,0.118555
1.386667-1.267671,0.118996
1.386961-1.267671,0.119289
1.388283-1.267671,0.120612
1.389605-1.267671,0.121934
1.400770-1.267671,0.133099
1.411200-1.267671,0.143529
1.415608-1.267671,0.147936
1.416783-1.267671,0.149112
1.421778-1.267671,0.154107
1.422659-1.267671,0.154988
1.423247-1.267671,0.155576
1.423541-1.267671,0.155870
1.442198-1.267671,0.174527
1.467907-1.267671,0.200236
1.468495-1.267671,0.200824
1.469523-1.267671,0.201852
1.476134-1.267671,0.208463
1.477897-1.267671,0.210226
1.483626-1.267671,0.215955
1.491853-1.267671,0.224182
1.493469-1.267671,0.225798
1.496848-1.267671,0.229177
1.499639-1.267671,0.231968
1.500961-1.267671,0.233290
1.504046-1.267671,0.236375
1.504487-1.267671,0.236816
1.504781-1.267671,0.237110
1.505369-1.267671,0.237697
1.510951-1.267671,0.243280
1.513449-1.267671,0.245777
1.543271-1.267671,0.275600
1.545915-1.267671,0.278244
1.547091-1.267671,0.279419
1.547972-1.267671,0.280301
1.548853-1.267671,0.281182
1.550029-1.267671,0.282358
1.550469-1.267671,0.282798
1.551645-1.267671,0.283974
1.552232-1.267671,0.284561
1.552526-1.267671,0.284855
1.553114-1.267671,0.285443
1.564866-1.267671,0.297195
1.577500-1.267671,0.309829
1.578235-1.267671,0.310564
1.588078-1.267671,0.320407
1.588959-1.267671,0.321288
1.589400-1.267671,0.321729
1.589841-1.267671,0.322170
1.590281-1.267671,0.322610
1.590575-1.267671,0.322904
1.592044-1.267671,0.324373
1.593660-1.267671,0.325989
1.599684-1.267671,0.332012
1.603209-1.267671,0.335538
1.603944-1.267671,0.336273
1.611143-1.267671,0.343471
1.613346-1.267671,0.345675
1.623630-1.267671,0.355959
1.630681-1.267671,0.363010
1.631269-1.267671,0.363598
1.631857-1.267671,0.364186
1.632885-1.267671,0.365214
1.633472-1.267671,0.365801
1.634648-1.267671,0.366977
1.636411-1.267671,0.368740
1.636851-1.267671,0.369180
1.637145-1.267671,0.369474
1.637586-1.267671,0.369915
1.638467-1.267671,0.370796
1.640818-1.267671,0.373147
1.652717-1.267671,0.385046
1.664764-1.267671,0.397093
1.667261-1.267671,0.399590
1.672550-1.267671,0.404879
1.672991-1.267671,0.405320
1.673285-1.267671,0.405614
1.673725-1.267671,0.406054
1.674313-1.267671,0.406642
1.674754-1.267671,0.407083
1.675048-1.267671,0.407377
1.677251-1.267671,0.409580
1.678427-1.267671,0.410755
1.689738-1.267671,0.422067
1.694586-1.267671,0.426915
1.700610-1.267671,0.432938
1.707514-1.267671,0.439843
1.716770-1.267671,0.449098
1.717063-1.267671,0.449392
1.717504-1.267671,0.449833
1.717798-1.267671,0.450127
1.718385-1.267671,0.450714
1.720589-1.267671,0.452918
1.721617-1.267671,0.453946
1.722205-1.267671,0.454534
1.722646-1.267671,0.454975
1.724115-1.267671,0.456444
1.744829-1.267671,0.477158
1.751587-1.267671,0.483916
1.756729-1.267671,0.489057
1.757022-1.267671,0.489351
1.757463-1.267671,0.489792
1.757757-1.267671,0.490086
1.758051-1.267671,0.490380
1.758491-1.267671,0.490820
1.759079-1.267671,0.491408
1.759667-1.267671,0.491996
1.759961-1.267671,0.492289
1.760401-1.267671,0.492730
1.799626-1.267671,0.531955
1.800213-1.267671,0.532542
1.800654-1.267671,0.532983
1.800948-1.267671,0.533277
1.801389-1.267671,0.533717
1.801682-1.267671,0.534011
1.802123-1.267671,0.534452
1.802564-1.267671,0.534893
1.804180-1.267671,0.536509
1.804621-1.267671,0.536949
1.805208-1.267671,0.537537
1.805502-1.267671,0.537831
1.805796-1.267671,0.538125
1.806090-1.267671,0.538419
1.806530-1.267671,0.538859
1.809469-1.267671,0.541797
1.834296-1.267671,0.566625
1.838997-1.267671,0.571326
1.841641-1.267671,0.573970
1.842523-1.267671,0.574852
1.842964-1.267671,0.575293
1.843257-1.267671,0.575586
1.844139-1.267671,0.576468
1.845167-1.267671,0.577496
1.856773-1.267671,0.589102
1.885126-1.267671,0.617455
1.885420-1.267671,0.617749
1.885714-1.267671,0.618043
1.886008-1.267671,0.618337
1.887036-1.267671,0.619365
1.888946-1.267671,0.621275
1.889681-1.267671,0.622009
1.889974-1.267671,0.622303
1.890268-1.267671,0.622597
1.891003-1.267671,0.623332
1.921853-1.267671,0.654182
1.925526-1.267671,0.657855
1.927436-1.267671,0.659765
1.927877-1.267671,0.660206
1.928758-1.267671,0.661087
1.929052-1.267671,0.661381
1.938748-1.267671,0.671077
1.947269-1.267671,0.679597
1.969599-1.267671,0.701928
1.971949-1.267671,0.704278
1.972684-1.267671,0.705013
1.973859-1.267671,0.706188
1.974593-1.267671,0.706922
1.988403-1.267671,0.720732
1.988697-1.267671,0.721026
2.003828-1.267671,0.736157
2.011174-1.267671,0.743502
2.011614-1.267671,0.743943
2.012349-1.267671,0.744678
2.013230-1.267671,0.745559
2.015581-1.267671,0.747910
2.049663-1.267671,0.781992
2.056274-1.267671,0.788603
2.060388-1.267671,0.792717
2.061122-1.267671,0.793451
2.091239-1.267671,0.823567
2.095499-1.267671,0.827828
2.098584-1.267671,0.830913
2.103432-1.267671,0.835761
2.114009-1.267671,0.846338
2.136046-1.267671,0.868374
2.168806-1.267671,0.901135
2.173801-1.267671,0.906130
2.183644-1.267671,0.915973
2.208178-1.267671,0.940506
2.215964-1.267671,0.948292
2.225807-1.267671,0.958135
2.226541-1.267671,0.958870
2.277959-1.267671,1.010288
2.312923-1.267671,1.045252
2.316890-1.267671,1.049219
2.381089-1.267671,1.113417
2.416200-1.267671,1.148529
2.442496-1.267671,1.174825
2.447197-1.267671,1.179526
2.473934-1.267671,1.206263
2.494061-1.267671,1.226390
1.273988-1.273400,0.000588
1.274282-1.273400,0.000881
1.277955-1.273400,0.004554
1.278395-1.273400,0.004995
1.285153-1.273400,0.011753
1.293380-1.273400,0.019980
1.294115-1.273400,0.020714
1.294555-1.273400,0.021155
1.295731-1.273400,0.022330
1.302341-1.273400,0.028941
1.302782-1.273400,0.029382
1.309834-1.273400,0.036433
1.311303-1.273400,0.037902
1.312037-1.273400,0.038637
1.319236-1.273400,0.045835
1.326875-1.273400,0.053475
1.328344-1.273400,0.054944
1.328638-1.273400,0.055238
1.335836-1.273400,0.062436
1.336424-1.273400,0.063024
1.338922-1.273400,0.065521
1.339362-1.273400,0.065962
1.340097-1.273400,0.066696
1.341860-1.273400,0.068459
1.349352-1.273400,0.075952
1.349793-1.273400,0.076392
1.354053-1.273400,0.080653
1.376236-1.273400,0.102836
1.377705-1.273400,0.104305
1.381672-1.273400,0.108271
1.385785-1.273400,0.112385
1.386226-1.273400,0.112826
1.386667-1.273400,0.113266
1.386961-1.273400,0.113560
1.388283-1.273400,0.114882
1.389605-1.273400,0.116204
1.400770-1.273400,0.127369
1.411200-1.273400,0.137800
1.415608-1.273400,0.142207
1.416783-1.273400,0.143382
1.421778-1.273400,0.148377
1.422659-1.273400,0.149259
1.423247-1.273400,0.149846
1.423541-1.273400,0.150140
1.442198-1.273400,0.168798
1.467907-1.273400,0.194507
1.468495-1.273400,0.195094
1.469523-1.273400,0.196122
1.476134-1.273400,0.202733
1.477897-1.273400,0.204496
1.483626-1.273400,0.210226
1.491853-1.273400,0.218453
1.493469-1.273400,0.220069
1.496848-1.273400,0.223447
1.499639-1.273400,0.226239
1.500961-1.273400,0.227561
1.504046-1.273400,0.230646
1.504487-1.273400,0.231087
1.504781-1.273400,0.231380
1.505369-1.273400,0.231968
1.510951-1.273400,0.237551
1.513449-1.273400,0.240048
1.543271-1.273400,0.269870
1.545915-1.273400,0.272515
1.547091-1.273400,0.273690
1.547972-1.273400,0.274572
1.548853-1.273400,0.275453
1.550029-1.273400,0.276628
1.550469-1.273400,0.277069
1.551645-1.273400,0.278244
1.552232-1.273400,0.278832
1.552526-1.273400,0.279126
1.553114-1.273400,0.279713
1.564866-1.273400,0.291466
1.577500-1.273400,0.304100
1.578235-1.273400,0.304835
1.588078-1.273400,0.314677
1.588959-1.273400,0.315559
1.589400-1.273400,0.316000
1.589841-1.273400,0.316440
1.590281-1.273400,0.316881
1.590575-1.273400,0.317175
1.592044-1.273400,0.318644
1.593660-1.273400,0.320260
1.599684-1.273400,0.326283
1.603209-1.273400,0.329809
1.603944-1.273400,0.330544
1.611143-1.273400,0.337742
1.613346-1.273400,0.339946
1.623630-1.273400,0.350229
1.630681-1.273400,0.357281
1.631269-1.273400,0.357868
1.631857-1.273400,0.358456
1.632885-1.273400,0.359484
1.633472-1.273400,0.360072
1.634648-1.273400,0.361247
1.636411-1.273400,0.363010
1.636851-1.273400,0.363451
1.637145-1.273400,0.363745
1.637586-1.273400,0.364186
1.638467-1.273400,0.365067
1.640818-1.273400,0.367418
1.652717-1.273400,0.379317
1.664764-1.273400,0.391363
1.667261-1.273400,0.393861
1.672550-1.273400,0.399150
1.672991-1.273400,0.399590
1.673285-1.273400,0.399884
1.673725-1.273400,0.400325
1.674313-1.273400,0.400913
1.674754-1.273400,0.401353
1.675048-1.273400,0.401647
1.677251-1.273400,0.403851
1.678427-1.273400,0.405026
1.689738-1.273400,0.416338
1.694586-1.273400,0.421186
1.700610-1.273400,0.427209
1.707514-1.273400,0.434114
1.716770-1.273400,0.443369
1.717063-1.273400,0.443663
1.717504-1.273400,0.444103
1.717798-1.273400,0.444397
1.718385-1.273400,0.444985
1.720589-1.273400,0.447189
1.721617-1.273400,0.448217
1.722205-1.273400,0.448805
1.722646-1.273400,0.449245
1.724115-1.273400,0.450714
1.744829-1.273400,0.471429
1.751587-1.273400,0.478186
1.756729-1.273400,0.483328
1.757022-1.273400,0.483622
1.757463-1.273400,0.484063
1.757757-1.273400,0.484356
1.758051-1.273400,0.484650
1.758491-1.273400,0.485091
1.759079-1.273400,0.485679
1.759667-1.273400,0.486266
1.759961-1.273400,0.486560
1.760401-1.273400,0.487001
1.799626-1.273400,0.526225
1.800213-1.273400,0.526813
1.800654-1.273400,0.527254
1.800948-1.273400,0.527547
1.801389-1.273400,0.527988
1.801682-1.273400,0.528282
1.802123-1.273400,0.528723
1.802564-1.273400,0.529163
1.804180-1.273400,0.530779
1.804621-1.273400,0.531220
1.805208-1.273400,0.531808
1.805502-1.273400,0.532102
1.805796-1.273400,0.532395
1.806090-1.273400,0.532689
1.806530-1.273400,0.533130
1.809469-1.273400,0.536068
1.834296-1.273400,0.560896
1.838997-1.273400,0.565597
1.841641-1.273400,0.568241
1.842523-1.273400,0.569122
1.842964-1.273400,0.569563
1.843257-1.273400,0.569857
1.844139-1.273400,0.570738
1.845167-1.273400,0.571767
1.856773-1.273400,0.583373
1.885126-1.273400,0.611726
1.885420-1.273400,0.612020
1.885714-1.273400,0.612313
1.886008-1.273400,0.612607
1.887036-1.273400,0.613636
1.888946-1.273400,0.615545
1.889681-1.273400,0.616280
1.889974-1.273400,0.616574
1.890268-1.273400,0.616868
1.891003-1.273400,0.617602
1.921853-1.273400,0.648453
1.925526-1.273400,0.652126
1.927436-1.273400,0.654035
1.927877-1.273400,0.654476
1.928758-1.273400,0.655358
1.929052-1.273400,0.655651
1.938748-1.273400,0.665347
1.947269-1.273400,0.673868
1.969599-1.273400,0.696198
1.971949-1.273400,0.698549
1.972684-1.273400,0.699283
1.973859-1.273400,0.700458
1.974593-1.273400,0.701193
1.988403-1.273400,0.715002
1.988697-1.273400,0.715296
2.003828-1.273400,0.730428
2.011174-1.273400,0.737773
2.011614-1.273400,0.738214
2.012349-1.273400,0.738948
2.013230-1.273400,0.739830
2.015581-1.273400,0.742180
2.049663-1.273400,0.776263
2.056274-1.273400,0.782874
2.060388-1.273400,0.786987
2.061122-1.273400,0.787722
2.091239-1.273400,0.817838
2.095499-1.273400,0.822098
2.098584-1.273400,0.825184
2.103432-1.273400,0.830031
2.114009-1.273400,0.840609
2.136046-1.273400,0.862645
2.168806-1.273400,0.895406
2.173801-1.273400,0.900401
2.183644-1.273400,0.910243
2.208178-1.273400,0.934777
2.215964-1.273400,0.942563
2.225807-1.273400,0.952406
2.226541-1.273400,0.953140
2.277959-1.273400,1.004558
2.312923-1.273400,1.039523
2.316890-1.273400,1.043489
2.381089-1.273400,1.107688
2.416200-1.273400,1.142799
2.442496-1.273400,1.169096
2.447197-1.273400,1.173797
2.473934-1.273400,1.200534
2.494061-1.273400,1.220660
1.274282-1.273988,0.000294
1.277955-1.273988,0.003966
1.278395-1.273988,0.004407
1.285153-1.273988,0.011165
1.293380-1.273988,0.019392
1.294115-1.273988,0.020126
1.294555-1.273988,0.020567
1.295731-1.273988,0.021742
1.302341-1.273988,0.028353
1.302782-1.273988,0.028794
1.309834-1.273988,0.035846
1.311303-1.273988,0.037315
1.312037-1.273988,0.038049
1.319236-1.273988,0.045248
1.326875-1.273988,0.052887
1.328344-1.273988,0.054356
1.328638-1.273988,0.054650
1.335836-1.273988,0.061848
1.336424-1.273988,0.062436
1.338922-1.273988,0.064934
1.339362-1.273988,0.065374
1.340097-1.273988,0.066109
1.341860-1.273988,0.067872
1.349352-1.273988,0.075364
1.349793-1.273988,0.075805
1.354053-1.273988,0.080065
1.376236-1.273988,0.102248
1.377705-1.273988,0.103717
1.381672-1.273988,0.107684
1.385785-1.273988,0.111797
1.386226-1.273988,0.112238
1.386667-1.273988,0.112679
1.386961-1.273988,0.112972
1.388283-1.273988,0.114295
1.389605-1.273988,0.115617
1.400770-1.273988,0.126782
1.411200-1.273988,0.137212
1.415608-1.273988,0.141620
1.416783-1.273988,0.142795
1.421778-1.273988,0.147790
1.422659-1.273988,0.148671
1.423247-1.273988,0.149259
1.423541-1.273988,0.149553
1.442198-1.273988,0.168210
1.467907-1.273988,0.193919
1.468495-1.273988,0.194507
1.469523-1.273988,0.195535
1.476134-1.273988,0.202146
1.477897-1.273988,0.203909
1.483626-1.273988,0.209638
1.491853-1.273988,0.217865
1.493469-1.273988,0.219481
1.496848-1.273988,0.222860
1.499639-1.273988,0.225651
1.500961-1.273988,0.226973
1.504046-1.273988,0.230058
1.504487-1.273988,0.230499
1.504781-1.273988,0.230793
1.505369-1.273988,0.231380
1.510951-1.273988,0.236963
1.513449-1.273988,0.239460
1.543271-1.273988,0.269283
1.545915-1.273988,0.271927
1.547091-1.273988,0.273102
1.547972-1.273988,0.273984
1.548853-1.273988,0.274865
1.550029-1.273988,0.276041
1.550469-1.273988,0.276481
1.551645-1.273988,0.277657
1.552232-1.273988,0.278244
1.552526-1.273988,0.278538
1.553114-1.273988,0.279126
1.564866-1.273988,0.290878
1.577500-1.273988,0.303512
1.578235-1.273988,0.304247
1.588078-1.273988,0.314090
1.588959-1.273988,0.314971
1.589400-1.273988,0.315412
1.589841-1.273988,0.315853
1.590281-1.273988,0.316293
1.590575-1.273988,0.316587
1.592044-1.273988,0.318056
1.593660-1.273988,0.319672
1.599684-1.273988,0.325695
1.603209-1.273988,0.329221
1.603944-1.273988,0.329956
1.611143-1.273988,0.337154
1.613346-1.273988,0.339358
1.623630-1.273988,0.349642
1.630681-1.273988,0.356693
1.631269-1.273988,0.357281
1.631857-1.273988,0.357869
1.632885-1.273988,0.358897
1.633472-1.273988,0.359484
1.634648-1.273988,0.360660
1.636411-1.273988,0.362423
1.636851-1.273988,0.362863
1.637145-1.273988,0.363157
1.637586-1.273988,0.363598
1.638467-1.273988,0.364479
1.640818-1.273988,0.366830
1.652717-1.273988,0.378729
1.664764-1.273988,0.390776
1.667261-1.273988,0.393273
1.672550-1.273988,0.398562
1.672991-1.273988,0.399003
1.673285-1.273988,0.399297
1.673725-1.273988,0.399737
1.674313-1.273988,0.400325
1.674754-1.273988,0.400766
1.675048-1.273988,0.401060
1.677251-1.273988,0.403263
1.678427-1.273988,0.404438
1.689738-1.273988,0.415750
1.694586-1.273988,0.420598
1.700610-1.273988,0.426621
1.707514-1.273988,0.433526
1.716770-1.273988,0.442781
1.717063-1.273988,0.443075
1.717504-1.273988,0.443516
1.717798-1.273988,0.443810
1.718385-1.273988,0.444397
1.720589-1.273988,0.446601
1.721617-1.273988,0.447629
1.722205-1.273988,0.448217
1.722646-1.273988,0.448658
1.724115-1.273988,0.450127
1.744829-1.273988,0.470841
1.751587-1.273988,0.477599
1.756729-1.273988,0.482740
1.757022-1.273988,0.483034
1.757463-1.273988,0.483475
1.757757-1.273988,0.483769
1.758051-1.273988,0.484063
1.758491-1.273988,0.484503
1.759079-1.273988,0.485091
1.759667-1.273988,0.485679
1.759961-1.273988,0.485972
1.760401-1.273988,0.486413
1.799626-1.273988,0.525638
1.800213-1.273988,0.526225
1.800654-1.273988,0.526666
1.800948-1.273988,0.526960
1.801389-1.273988,0.527400
1.801682-1.273988,0.527694
1.802123-1.273988,0.528135
1.802564-1.273988,0.528576
1.804180-1.273988,0.530192
1.804621-1.273988,0.530633
1.805208-1.273988,0.531220
1.805502-1.273988,0.531514
1.805796-1.273988,0.531808
1.806090-1.273988,0.532102
1.806530-1.273988,0.532542
1.809469-1.273988,0.535481
1.834296-1.273988,0.560308
1.838997-1.273988,0.565009
1.841641-1.273988,0.567653
1.842523-1.273988,0.568535
1.842964-1.273988,0.568976
1.843257-1.273988,0.569269
1.844139-1.273988,0.570151
1.845167-1.273988,0.571179
1.856773-1.273988,0.582785
1.885126-1.273988,0.611138
1.885420-1.273988,0.611432
1.885714-1.273988,0.611726
1.886008-1.273988,0.612020
1.887036-1.273988,0.613048
1.888946-1.273988,0.614958
1.889681-1.273988,0.615692
1.889974-1.273988,0.615986
1.890268-1.273988,0.616280
1.891003-1.273988,0.617015
1.921853-1.273988,0.647865
1.925526-1.273988,0.651538
1.927436-1.273988,0.653448
1.927877-1.273988,0.653889
1.928758-1.273988,0.654770
1.929052-1.273988,0.655064
1.938748-1.273988,0.664760
1.947269-1.273988,0.673280
1.969599-1.273988,0.695611
1.971949-1.273988,0.697961
1.972684-1.273988,0.698696
1.973859-1.273988,0.699871
1.974593-1.273988,0.700605
1.988403-1.273988,0.714415
1.988697-1.273988,0.714709
2.003828-1.273988,0.729840
2.011174-1.273988,0.737185
2.011614-1.273988,0.737626
2.012349-1.273988,0.738361
2.013230-1.273988,0.739242
2.015581-1.273988,0.741593
2.049663-1.273988,0.775675
2.056274-1.273988,0.782286
2.060388-1.273988,0.786400
2.061122-1.273988,0.787134
2.091239-1.273988,0.817250
2.095499-1.273988,0.821511
2.098584-1.273988,0.824596
2.103432-1.273988,0.829444
2.114009-1.273988,0.840021
2.136046-1.273988,0.862057
2.168806-1.273988,0.894818
2.173801-1.273988,0.899813
2.183644-1.273988,0.909656
2.208178-1.273988,0.934189
2.215964-1.273988,0.941975
2.225807-1.273988,0.951818
2.226541-1.273988,0.952553
2.277959-1.273988,1.003971
2.312923-1.273988,1.038935
2.316890-1.273988,1.042902
2.381089-1.273988,1.107100
2.416200-1.273988,1.142212
2.442496-1.273988,1.168508
2.447197-1.273988,1.173209
2.473934-1.273988,1.199946
2.494061-1.273988,1.220073
1.277955-1.274282,0.003673
1.278395-1.274282,0.004113
1.285153-1.274282,0.010871
1.293380-1.274282,0.019098
1.294115-1.274282,0.019833
1.294555-1.274282,0.020273
1.295731-1.274282,0.021449
1.302341-1.274282,0.028059
1.302782-1.274282,0.028500
1.309834-1.274282,0.035552
1.311303-1.274282,0.037021
1.312037-1.274282,0.037755
1.319236-1.274282,0.044954
1.326875-1.274282,0.052593
1.328344-1.274282,0.054062
1.328638-1.274282,0.054356
1.335836-1.274282,0.061555
1.336424-1.274282,0.062142
1.338922-1.274282,0.064640
1.339362-1.274282,0.065080
1.340097-1.274282,0.065815
1.341860-1.274282,0.067578
1.349352-1.274282,0.075070
1.349793-1.274282,0.075511
1.354053-1.274282,0.079771
1.376236-1.274282,0.101954
1.377705-1.274282,0.103423
1.381672-1.274282,0.107390
1.385785-1.274282,0.111503
1.386226-1.274282,0.111944
1.386667-1.274282,0.112385
1.386961-1.274282,0.112679
1.388283-1.274282,0.114001
1.389605-1.274282,0.115323
1.400770-1.274282,0.126488
1.411200-1.274282,0.136918
1.415608-1.274282,0.141326
1.416783-1.274282,0.142501
1.421778-1.274282,0.147496
1.422659-1.274282,0.148377
1.423247-1.274282,0.148965
1.423541-1.274282,0.149259
1.442198-1.274282,0.167916
1.467907-1.274282,0.193625
1.468495-1.274282,0.194213
1.469523-1.274282,0.195241
1.476134-1.274282,0.201852
1.477897-1.274282,0.203615
1.483626-1.274282,0.209344
1.491853-1.274282,0.217571
1.493469-1.274282,0.219187
1.496848-1.274282,0.222566
1.499639-1.274282,0.225357
1.500961-1.274282,0.226679
1.504046-1.274282,0.229764
1.504487-1.274282,0.230205
1.504781-1.274282,0.230499
1.505369-1.274282,0.231087
1.510951-1.274282,0.236669
1.513449-1.274282,0.239167
1.543271-1.274282,0.268989
1.545915-1.274282,0.271633
1.547091-1.274282,0.272809
1.547972-1.274282,0.273690
1.548853-1.274282,0.274571
1.550029-1.274282,0.275747
1.550469-1.274282,0.276187
1.551645-1.274282,0.277363
1.552232-1.274282,0.277950
1.552526-1.274282,0.278244
1.553114-1.274282,0.278832
1.564866-1.274282,0.290584
1.577500-1.274282,0.303219
1.578235-1.274282,0.303953
1.588078-1.274282,0.313796
1.588959-1.274282,0.314677
1.589400-1.274282,0.315118
1.589841-1.274282,0.315559
1.590281-1.274282,0.316000
1.590575-1.274282,0.316293
1.592044-1.274282,0.317762
1.593660-1.274282,0.319378
