Index,Frequency (mHz),Amplitude (dB),Distance from central (samples)
11966,1.75805070,73.77475700,0
11969,1.75849140,28.50776000,3
11973,1.75907910,16.19216000,7
11977,1.75966670,7.41844700,11
11979,1.75996050,9.77622510,13
11982,1.76040120,5.24820660,16
12249,1.79962570,11.36794800,283
12253,1.80021340,7.46227160,287
12256,1.80065410,17.57699200,290
12258,1.80094790,11.15619100,292
12261,1.80138860,12.30559200,295
12263,1.80168250,13.34541100,297
12266,1.80212320,10.10350000,300
12269,1.80256390,5.75806770,303
12280,1.80417990,5.22090360,314
12283,1.80462060,9.19400420,317
12287,1.80520830,20.36408000,321
12289,1.80550210,35.36736700,323
12291,1.80579590,23.91419000,325
12293,1.80608970,25.84881400,327
12296,1.80653040,8.54114590,330
12316,1.80946860,8.41895350,350
12485,1.83429610,6.47594600,519
12517,1.83899710,5.32102690,551
12535,1.84164150,8.51186060,569
12541,1.84252290,23.51896700,575
12544,1.84296370,15.06401500,578
12546,1.84325750,15.70424000,580
12552,1.84413890,7.90803940,586
12559,1.84516730,10.12355400,593
12638,1.85677300,6.89270000,672
12831,1.88512630,21.94651000,865
12833,1.88542010,12.92965100,867
12835,1.88571400,19.67775400,869
12837,1.88600780,6.71860010,871
12844,1.88703610,9.36120570,878
12857,1.88894590,10.18109900,891
12862,1.88968050,13.03210200,896
12864,1.88997430,12.43456000,898
12866,1.89026810,14.37121400,900
12871,1.89100270,7.91112010,905
13081,1.92185340,8.46381220,1115
13106,1.92552610,6.46665800,1140
13119,1.92743590,5.39810440,1153
13122,1.92787660,7.12121700,1156
13128,1.92875810,7.20038450,1162
13130,1.92905190,12.09523900,1164
13196,1.93874780,5.31560880,1230
13254,1.94726850,5.94762570,1288
13406,1.96959860,7.47708160,1440
13422,1.97194910,5.74148940,1456
13427,1.97268360,8.27775390,1461
13435,1.97385890,6.07962980,1469
13440,1.97459340,5.40316700,1474
13534,1.98840280,5.14548270,1568
13536,1.98869660,5.24742590,1570
13639,2.00382820,6.86222990,1673
13689,2.01117360,5.31322280,1723
13692,2.01161430,7.42247250,1726
13697,2.01234890,14.34116200,1731
13703,2.01323030,8.37951990,1737
13719,2.01558080,5.92018460,1753
13951,2.04966350,6.48714800,1985
13996,2.05627440,6.61342390,2030
14024,2.06038780,5.19575450,2058
14029,2.06112240,7.28930790,2063
14234,2.09123860,6.78638400,2268
14263,2.09549890,5.76261510,2297
14284,2.09858400,5.87991950,2318
14317,2.10343190,5.90093500,2351
14389,2.11400930,5.42164560,2423
14539,2.13604560,5.27504760,2573
14762,2.16880610,5.72389610,2796
14796,2.17380100,5.49732920,2830
14863,2.18364380,5.63014900,2897
15030,2.20817750,8.47638090,3064
15083,2.21596360,7.35425820,3117
15150,2.22580650,7.61700640,3184
15155,2.22654100,5.50378260,3189
15505,2.27795890,6.37999360,3539
15743,2.31292310,6.42593420,3777
15770,2.31688960,8.50207320,3804
16207,2.38108850,5.73470840,4241
16446,2.41619960,5.61883910,4480
16625,2.44249610,5.59560980,4659
16657,2.44719720,5.49619880,4691
16839,2.47393450,5.29829550,4873
16976,2.49406090,5.74621980,5010
