Pair,Delta (microHz)
263.898530-151.564410,112.334120
263.961550-151.564410,112.397140
264.103340-151.564410,112.538930
265.426780-151.564410,113.862370
265.450410-151.564410,113.886000
265.474040-151.564410,113.909630
265.513430-151.564410,113.949020
265.537060-151.564410,113.972650
265.568570-151.564410,114.004160
265.592200-151.564410,114.027790
265.623710-151.564410,114.059300
265.639470-151.564410,114.075060
265.670980-151.564410,114.106570
265.718250-151.564410,114.153840
265.734000-151.564410,114.169590
265.773390-151.564410,114.208980
265.789140-151.564410,114.224730
266.017590-151.564410,114.453180
267.719150-151.564410,116.154740
268.042130-151.564410,116.477720
268.223310-151.564410,116.658900
268.246940-151.564410,116.682530
268.278450-151.564410,116.714040
268.294210-151.564410,116.729800
268.648700-151.564410,117.084290
273.327980-151.564410,121.763570
273.343730-151.564410,121.779320
273.391000-151.564410,121.826590
273.414630-151.564410,121.850220
273.438260-151.564410,121.873850
273.461890-151.564410,121.897480
273.477650-151.564410,121.913240
273.493400-151.564410,121.928990
275.809410-151.564410,124.245000
275.856680-151.564410,124.292270
275.872430-151.564410,124.308020
275.911820-151.564410,124.347410
275.998470-151.564410,124.434060
276.242680-151.564410,124.678270
279.070720-151.564410,127.506310
280.110560-151.564410,128.546150
281.205540-151.564410,129.641130
281.528520-151.564410,129.964110
281.575790-151.564410,130.011380
283.151300-151.564410,131.586890
283.167060-151.564410,131.602650
152.486080-152.107960,0.378120
152.879960-152.107960,0.772000
153.147800-152.107960,1.039840
154.085230-152.107960,1.977270
154.636660-152.107960,2.528700
155.219600-152.107960,3.111640
159.914630-152.107960,7.806670
160.103690-152.107960,7.995730
162.955370-152.107960,10.847410
162.994760-152.107960,10.886800
165.389540-152.107960,13.281580
168.682360-152.107960,16.574400
170.832940-152.107960,18.724980
171.281960-152.107960,19.174000
171.597060-152.107960,19.489100
171.864900-152.107960,19.756940
171.888530-152.107960,19.780570
172.164250-152.107960,20.056290
176.370870-152.107960,24.262910
177.922750-152.107960,25.814790
179.931530-152.107960,27.823570
180.120590-152.107960,28.012630
180.152100-152.107960,28.044140
180.238760-152.107960,28.130800
186.800770-152.107960,34.692810
188.470810-152.107960,36.362850
188.557470-152.107960,36.449510
188.636240-152.107960,36.528280
190.487470-152.107960,38.379510
190.511100-152.107960,38.403140
195.103730-152.107960,42.995770
196.631970-152.107960,44.524010
196.758020-152.107960,44.650060
196.821040-152.107960,44.713080
196.836790-152.107960,44.728830
196.884060-152.107960,44.776100
