Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
33453,263.53616000,246.97601000,2789
33468,263.65432000,811.98314000,2804
33473,263.69371000,308.71143000,2809
33476,263.71734000,291.95729000,2812
33479,263.74098000,302.07425000,2815
33482,263.76461000,1124.33570000,2818
33491,263.83551000,299.25407000,2827
33493,263.85126000,268.04416000,2829
33499,263.89853000,1342.78260000,2835
33507,263.96155000,466.46487000,2843
33525,264.10334000,390.67143000,2861
33693,265.42678000,251.75995000,3029
33696,265.45041000,292.61863000,3032
33699,265.47404000,341.24661000,3035
33704,265.51343000,1217.68220000,3040
33707,265.53706000,683.66543000,3043
33711,265.56857000,897.33125000,3047
33714,265.59220000,494.99546000,3050
33718,265.62371000,420.29495000,3054
33720,265.63947000,362.91009000,3056
33724,265.67098000,1453.50520000,3060
33730,265.71825000,684.48489000,3066
33732,265.73400000,802.54401000,3068
33737,265.77339000,450.98215000,3073
33739,265.78914000,810.34799000,3075
33768,266.01759000,346.30178000,3104
33984,267.71915000,305.60266000,3320
34025,268.04213000,254.95487000,3361
34048,268.22331000,499.45273000,3384
34051,268.24694000,313.94937000,3387
34055,268.27845000,269.61728000,3391
34057,268.29421000,454.01143000,3393
34102,268.64870000,317.01813000,3438
34696,273.32798000,385.18123000,4032
34698,273.34373000,338.12833000,4034
34704,273.39100000,548.15163000,4040
34707,273.41463000,597.87674000,4043
34710,273.43826000,272.42144000,4046
34713,273.46189000,251.18828000,4049
34715,273.47765000,510.85664000,4051
34717,273.49340000,245.02411000,4053
35011,275.80941000,595.66751000,4347
35017,275.85668000,340.31287000,4353
35019,275.87243000,924.06224000,4355
35024,275.91182000,351.34950000,4360
35035,275.99847000,293.59995000,4371
35066,276.24268000,272.89306000,4402
35425,279.07072000,279.71451000,4761
35557,280.11056000,353.96918000,4893
35696,281.20554000,346.59918000,5032
35737,281.52852000,251.43700000,5073
35743,281.57579000,295.12189000,5079
35943,283.15130000,235.46164000,5279
35945,283.16706000,284.26087000,5281
