Frequencia,Amplitud
1.92031860,-62.11708500
1.92108154,-62.14721300
1.92184448,-62.24836000
1.92260742,-62.40463600
1.92337036,-62.38227500
1.92413330,-62.24546800
1.92489624,-62.32756800
1.92565918,-62.10530100
1.92642212,-61.79895800
1.92718506,-61.85910000
1.92794800,-61.79097400
1.92871094,-61.61360900
1.92947388,-61.51510200
1.93023682,-61.52392600
1.93099976,-61.12507200
1.93176270,-60.81906500
1.93252563,-60.67458700
1.93328857,-60.35973000
1.93405151,-59.98341000
1.93481445,-59.99675400
1.93557739,-60.03592300
1.93634033,-60.24580000
1.93710327,-60.57004900
1.93786621,-60.51627000
1.93862915,-60.73920100
1.93939209,-60.92627300
1.94015503,-61.08562100
1.94091797,-61.19080000
1.94168091,-61.47002000
1.94244385,-61.29722600
1.94320679,-61.41332600
1.94396973,-62.11006900
1.94473267,-62.00637100
1.94549561,-61.89252100
1.94625854,-62.06995800
1.94702148,-62.12585400
1.94778442,-62.43243400
1.94854736,-61.91780500
1.94931030,-61.64844900
1.95007324,-61.80629300
1.95083618,-62.22855800
1.95159912,-62.37926900
1.95236206,-62.12458000
1.95312500,-61.96986000
1.95388794,-61.97325500
1.95465088,-61.95969000
1.95541382,-61.90411400
1.95617676,-62.00118300
1.95693970,-61.96043000
1.95770264,-61.95544800
1.95846558,-61.92944000
1.95922852,-61.81594800
1.95999146,-61.85982500
1.96075439,-61.73888400
1.96151733,-61.68895300
1.96228027,-61.55247500
1.96304321,-61.46010200
1.96380615,-61.83778400
1.96456909,-61.70755000
1.96533203,-61.54427700
1.96609497,-61.51366800
1.96685791,-61.30588200
1.96762085,-61.49652100
1.96838379,-61.77704600
1.96914673,-61.45277800
1.96990967,-61.14646500
1.97067261,-61.61282300
1.97143555,-61.68785100
1.97219849,-61.79938100
1.97296143,-61.84718700
1.97372437,-61.48793000
1.97448730,-61.46457700
1.97525024,-61.51425200
1.97601318,-61.43396800
1.97677612,-61.34136600
1.97753906,-61.04257600
1.97830200,-61.07995600
1.97906494,-61.16259000
1.97982788,-60.88105000
1.98059082,-60.85997000
1.98135376,-61.00819400
1.98211670,-61.06062300
1.98287964,-60.92322200
1.98364258,-60.82574100
1.98440552,-60.69143700
1.98516846,-60.64981500
1.98593140,-60.59300600
1.98669434,-60.25396000
1.98745728,-59.93983100
1.98822021,-60.22420500
1.98898315,-60.13028300
1.98974609,-59.73315000
1.99050903,-59.79837400
1.99127197,-59.64386700
1.99203491,-59.31214500
1.99279785,-59.17098200
1.99356079,-58.93869800
1.99432373,-58.76984400
1.99508667,-58.48852900
1.99584961,-58.71993300
1.99661255,-58.78510300
1.99737549,-58.95620700
1.99813843,-58.81449100
1.99890137,-58.91475700
1.99966431,-59.29259500
2.00042725,-59.10015100
2.00119019,-58.82669400
2.00195312,-59.09943000
2.00271606,-59.06999200
2.00347900,-58.73104100
2.00424194,-58.48040400
2.00500488,-58.65367100
2.00576782,-58.64857900
2.00653076,-58.57006800
2.00729370,-58.58355300
2.00805664,-58.68636700
2.00881958,-58.80009100
2.00958252,-58.89563000
2.01034546,-58.95287300
2.01110840,-59.22435000
2.01187134,-59.44836800
2.01263428,-59.69831800
2.01339722,-59.70871000
2.01416016,-59.93579500
2.01492310,-60.13769500
2.01568604,-60.01400000
2.01644897,-59.85036500
2.01721191,-60.05120100
2.01797485,-59.93948000
2.01873779,-59.77070200
2.01950073,-60.15885900
2.02026367,-60.30370700
2.02102661,-60.06556300
2.02178955,-60.01192100
2.02255249,-60.27815200
2.02331543,-60.35411800
2.02407837,-59.93623700
2.02484131,-60.03914300
2.02560425,-60.19475200
2.02636719,-60.25299100
2.02713013,-60.30896000
2.02789307,-60.05925800
2.02865601,-60.26873000
2.02941895,-60.32392100
2.03018188,-60.28125400
2.03094482,-59.99237800
2.03170776,-59.65498000
2.03247070,-59.99454100
2.03323364,-59.80303600
2.03399658,-60.12227200
2.03475952,-60.20718000
2.03552246,-59.84093500
2.03628540,-59.81220600
2.03704834,-59.63710800
2.03781128,-59.78455000
2.03857422,-59.80781900
2.03933716,-59.63353000
2.04010010,-59.73932600
2.04086304,-59.68604300
2.04162598,-59.73333400
2.04238892,-59.59210600
2.04315186,-59.37994400
2.04391479,-59.13386900
2.04467773,-59.03673200
2.04544067,-59.26713200
2.04620361,-58.97910700
2.04696655,-58.68534900
2.04772949,-58.71504600
2.04849243,-58.47357600
2.04925537,-58.58786400
2.05001831,-58.21374900
2.05078125,-58.27007300
2.05154419,-58.35509100
2.05230713,-58.33037900
2.05307007,-58.25958300
2.05383301,-58.67527400
2.05459595,-58.60594600
2.05535889,-58.56667300
2.05612183,-58.76813500
2.05688477,-58.80229900
2.05764771,-58.76422900
2.05841064,-58.52129000
2.05917358,-58.47498700
2.05993652,-58.40074900
2.06069946,-58.41177700
2.06146240,-58.04439500
2.06222534,-57.97352200
2.06298828,-58.12071200
2.06375122,-57.81836300
2.06451416,-57.58386600
2.06527710,-57.52750000
2.06604004,-56.87743400
2.06680298,-56.70347200
2.06756592,-56.30615200
2.06832886,-56.19449200
2.06909180,-56.06466700
2.06985474,-55.83362200
2.07061768,-55.84385300
2.07138062,-55.75579500
2.07214355,-55.92551800
2.07290649,-56.28465300
2.07366943,-56.43262500
2.07443237,-56.45587200
2.07519531,-56.90129500
2.07595825,-57.34761800
2.07672119,-57.38100400
2.07748413,-57.68790100
2.07824707,-57.94019300
2.07901001,-58.01374400
2.07977295,-57.87750200
2.08053589,-58.25687800
2.08129883,-58.68700400
2.08206177,-58.40150800
2.08282471,-58.41399000
2.08358765,-58.67646800
2.08435059,-58.78358800
2.08511353,-58.74350000
2.08587646,-58.75633200
2.08663940,-58.87307000
2.08740234,-58.76681500
2.08816528,-58.66896100
2.08892822,-58.66643500
2.08969116,-58.97817600
2.09045410,-58.96187600
2.09121704,-58.82795300
2.09197998,-58.72241600
2.09274292,-58.78324900
2.09350586,-58.91627500
2.09426880,-58.90235900
2.09503174,-58.39580200
2.09579468,-58.24745600
2.09655762,-58.61133600
2.09732056,-58.54892700
2.09808350,-58.35289400
2.09884644,-58.40910700
2.09960938,-58.63393400
2.10037231,-58.63275500
2.10113525,-58.39532500
2.10189819,-58.39732000
2.10266113,-58.30458800
2.10342407,-58.39347500
2.10418701,-58.32478700
2.10494995,-58.18436100
2.10571289,-58.55172000
2.10647583,-58.47443000
2.10723877,-58.22546000
2.10800171,-58.47995800
2.10876465,-58.69824600
2.10952759,-58.66478700
2.11029053,-58.33935200
2.11105347,-57.89188800
2.11181641,-58.04374300
2.11257935,-58.16193400
2.11334229,-58.33406400
2.11410522,-58.49406800
2.11486816,-58.22636000
2.11563110,-58.04154600
2.11639404,-58.06384700
2.11715698,-57.99642900
2.11791992,-57.71146800
2.11868286,-57.74673800
2.11944580,-57.86788900
2.12020874,-57.53804400
2.12097168,-57.24901600
2.12173462,-57.00384500
2.12249756,-57.26367600
2.12326050,-57.24096700
2.12402344,-56.96459200
2.12478638,-56.48450900
2.12554932,-56.33748200
2.12631226,-56.27990300
2.12707520,-55.97523900
2.12783813,-55.59588200
2.12860107,-55.50780500
2.12936401,-55.09062600
2.13012695,-54.81351500
2.13088989,-54.70965200
2.13165283,-54.61520000
2.13241577,-54.61140100
2.13317871,-54.52999500
2.13394165,-54.79147700
2.13470459,-54.95903400
2.13546753,-55.37074700
2.13623047,-55.30770500
2.13699341,-55.40447200
2.13775635,-55.16133900
2.13851929,-55.20485300
2.13928223,-55.48490500
2.14004517,-55.18875100
2.14080811,-55.03828400
2.14157104,-55.11188100
2.14233398,-54.79439900
2.14309692,-54.67536500
2.14385986,-55.12644600
2.14462280,-54.99977100
2.14538574,-55.23404300
2.14614868,-55.24099000
2.14691162,-55.41226600
2.14767456,-55.81663100
2.14843750,-55.84920500
2.14920044,-56.07452400
2.14996338,-56.41138500
2.15072632,-56.71008300
2.15148926,-57.03650300
2.15225220,-56.87057500
2.15301514,-56.69933700
2.15377808,-56.91872000
2.15454102,-57.29757700
2.15530396,-57.57007600
2.15606689,-57.76901200
2.15682983,-57.34398300
2.15759277,-56.97765000
2.15835571,-57.35894800
2.15911865,-57.77679800
2.15988159,-57.64794200
2.16064453,-57.55435200
2.16140747,-57.61689400
2.16217041,-57.66456600
2.16293335,-57.69751700
2.16369629,-57.75914400
2.16445923,-57.23817800
2.16522217,-57.31000500
2.16598511,-57.55576700
2.16674805,-57.58914200
2.16751099,-57.80099900
2.16827393,-57.93019900
2.16903687,-57.57484800
2.16979980,-57.69798300
2.17056274,-57.59584400
2.17132568,-57.61255300
2.17208862,-57.55717500
2.17285156,-57.52738200
2.17361450,-56.94699900
2.17437744,-57.19669000
2.17514038,-57.11693600
2.17590332,-56.88060000
2.17666626,-56.83539600
2.17742920,-56.90202300
2.17819214,-56.59591300
2.17895508,-56.30995600
2.17971802,-56.70253000
2.18048096,-56.79417000
2.18124390,-56.71511500
2.18200684,-56.59823200
2.18276978,-56.34942200
2.18353271,-56.37375300
2.18429565,-56.42641400
2.18505859,-55.97927900
2.18582153,-55.62805900
2.18658447,-55.67783000
2.18734741,-55.78330600
2.18811035,-55.39691900
2.18887329,-55.58315700
2.18963623,-55.79090500
2.19039917,-55.74539600
2.19116211,-55.70169400
2.19192505,-55.88616200
2.19268799,-55.58549900
2.19345093,-55.52488300
2.19421387,-55.80209400
2.19497681,-55.58355700
2.19573975,-55.37525200
2.19650269,-55.45560800
2.19726562,-55.34437600
2.19802856,-54.99659700
2.19879150,-54.87160500
2.19955444,-54.57195700
2.20031738,-54.33805800
2.20108032,-54.15171400
2.20184326,-53.67108200
2.20260620,-53.61412800
2.20336914,-53.23481000
2.20413208,-53.00950600
2.20489502,-52.60250100
2.20565796,-52.45483400
2.20642090,-52.74320200
2.20718384,-52.41257100
2.20794678,-52.50238400
2.20870972,-52.79983500
2.20947266,-52.91490200
2.21023560,-53.55946700
2.21099854,-53.63256100
2.21176147,-53.93885800
2.21252441,-54.52301800
2.21328735,-54.90428500
2.21405029,-55.11680600
2.21481323,-55.14193700
2.21557617,-55.35857000
2.21633911,-55.80134600
2.21710205,-56.01033000
2.21786499,-55.78573600
2.21862793,-55.81892400
2.21939087,-56.31462500
2.22015381,-56.66616100
2.22091675,-56.68322400
2.22167969,-56.66853300
2.22244263,-56.59442500
2.22320557,-56.50930000
2.22396851,-56.50264700
2.22473145,-56.54502100
2.22549438,-56.65864600
2.22625732,-56.72300300
2.22702026,-56.71716300
2.22778320,-56.76367600
2.22854614,-56.77541000
2.22930908,-56.95091600
2.23007202,-56.80482100
2.23083496,-56.49577300
2.23159790,-56.30244100
2.23236084,-56.22351500
2.23312378,-56.40337000
2.23388672,-56.52859900
2.23464966,-56.69606400
2.23541260,-56.54179800
2.23617554,-56.57724800
2.23693848,-56.31831000
2.23770142,-56.32450100
2.23846436,-56.59106100
2.23922729,-56.40356100
2.23999023,-56.46786100
2.24075317,-56.08220300
2.24151611,-56.24362200
2.24227905,-56.56414400
2.24304199,-56.80115100
2.24380493,-56.65255400
2.24456787,-56.19761700
2.24533081,-56.29711200
2.24609375,-56.43657700
2.24685669,-56.41468000
2.24761963,-56.25119000
2.24838257,-56.00568400
2.24914551,-56.07715600
2.24990845,-56.01248600
2.25067139,-55.87349300
2.25143433,-56.13767600
2.25219727,-56.15079100
2.25296021,-55.72737100
2.25372314,-55.78311500
2.25448608,-55.56718800
2.25524902,-55.19203900
2.25601196,-55.08407600
2.25677490,-55.26685000
2.25753784,-55.32095700
2.25830078,-54.92930600
2.25906372,-54.61475000
2.25982666,-54.31584200
2.26058960,-54.07551200
2.26135254,-53.77825200
2.26211548,-53.41662200
2.26287842,-53.18418500
2.26364136,-52.87164300
2.26440430,-52.54237000
2.26516724,-52.54137000
2.26593018,-52.34906800
2.26669312,-51.85046000
2.26745605,-51.95560100
2.26821899,-51.98195600
2.26898193,-51.87439300
2.26974487,-51.93792300
2.27050781,-52.23106400
2.27127075,-52.69483900
2.27203369,-52.64735800
2.27279663,-52.41605000
2.27355957,-52.36420100
2.27432251,-52.53565600
2.27508545,-52.48595000
2.27584839,-52.59465000
2.27661133,-52.41202500
2.27737427,-52.32465700
2.27813721,-52.25337200
2.27890015,-52.23725900
2.27966309,-52.53385500
2.28042603,-52.93706100
2.28118896,-53.15756600
2.28195190,-53.38382700
2.28271484,-53.73433700
2.28347778,-53.69649500
2.28424072,-53.94486200
2.28500366,-53.96851700
2.28576660,-54.13645900
2.28652954,-54.57355500
2.28729248,-54.99621200
2.28805542,-55.20654300
2.28881836,-55.16575200
2.28958130,-55.36880900
2.29034424,-55.70368600
2.29110718,-55.61344900
2.29187012,-55.56871400
2.29263306,-55.66517300
2.29339600,-55.94943600
2.29415894,-56.01994300
2.29492188,-55.92748300
2.29568481,-55.97380100
2.29644775,-56.12097500
2.29721069,-56.03002200
2.29797363,-56.07062100
2.29873657,-56.01975600
2.29949951,-55.81821100
2.30026245,-55.98912000
2.30102539,-55.79964800
2.30178833,-55.75640500
2.30255127,-55.77327700
2.30331421,-56.04006200
2.30407715,-55.89131200
2.30484009,-55.62310400
2.30560303,-55.82247500
2.30636597,-56.09733600
2.30712891,-55.97848100
2.30789185,-55.59519600
2.30865479,-55.58709300
2.30941772,-55.79779800
2.31018066,-55.30107500
2.31094360,-55.05115900
2.31170654,-55.33600600
2.31246948,-55.29726000
2.31323242,-55.41450900
2.31399536,-55.45519300
2.31475830,-55.33885600
2.31552124,-55.33614700
2.31628418,-55.01833300
2.31704712,-54.69969900
2.31781006,-54.24864200
2.31857300,-54.31956100
2.31933594,-54.17074600
2.32009888,-53.67620500
2.32086182,-53.46438600
2.32162476,-53.33778800
2.32238770,-53.51847100
2.32315063,-53.31526600
2.32391357,-53.42451100
2.32467651,-53.67903100
2.32543945,-53.50452400
2.32620239,-53.33519000
2.32696533,-53.21840300
2.32772827,-53.48603800
2.32849121,-53.92759700
2.32925415,-53.56223700
2.33001709,-53.38400700
2.33078003,-53.30085800
2.33154297,-53.03717400
2.33230591,-52.84680900
2.33306885,-52.38716500
2.33383179,-52.13415900
2.33459473,-52.30558400
2.33535767,-52.26567500
2.33612061,-52.08179900
2.33688354,-51.43150300
2.33764648,-50.99211900
2.33840942,-50.46432900
2.33917236,-49.93592100
2.33993530,-49.65961100
2.34069824,-49.61490600
2.34146118,-49.63310200
