Pair,Delta (microHz)
141.843490-121.826590,20.016900
141.867120-121.826590,20.040530
142.134960-121.826590,20.308370
145.829540-121.826590,24.002950
147.672890-121.826590,25.846300
147.704400-121.826590,25.877810
147.806810-121.826590,25.980220
148.011620-121.826590,26.185030
148.027380-121.826590,26.200790
148.066770-121.826590,26.240180
148.082520-121.826590,26.255930
148.736360-121.826590,26.909770
148.759990-121.826590,26.933400
148.846650-121.826590,27.020060
149.035710-121.826590,27.209120
149.075100-121.826590,27.248510
149.106610-121.826590,27.280020
149.122360-121.826590,27.295770
149.209010-121.826590,27.382420
152.218250-121.826590,30.391660
153.171430-121.826590,31.344840
153.250210-121.826590,31.423620
153.265960-121.826590,31.439370
153.281720-121.826590,31.455130
153.313230-121.826590,31.486640
153.360490-121.826590,31.533900
153.502290-121.826590,31.675700
154.754820-121.826590,32.928230
154.802090-121.826590,32.975500
154.825720-121.826590,32.999130
154.857230-121.826590,33.030640
154.951760-121.826590,33.125170
154.967520-121.826590,33.140930
154.991150-121.826590,33.164560
155.022660-121.826590,33.196070
155.054170-121.826590,33.227580
155.085680-121.826590,33.259090
155.109310-121.826590,33.282720
155.180210-121.826590,33.353620
155.227480-121.826590,33.400890
158.433650-121.826590,36.607060
160.135200-121.826590,38.308610
160.363650-121.826590,38.537060
160.450300-121.826590,38.623710
160.466060-121.826590,38.639470
160.859940-121.826590,39.033350
160.875690-121.826590,39.049100
161.742230-121.826590,39.915640
161.828880-121.826590,40.002290
161.844630-121.826590,40.018040
161.899780-121.826590,40.073190
161.915530-121.826590,40.088940
161.947040-121.826590,40.120450
162.025820-121.826590,40.199230
162.041570-121.826590,40.214980
162.080960-121.826590,40.254370
162.120350-121.826590,40.293760
162.143980-121.826590,40.317390
162.230630-121.826590,40.404040
163.349250-121.826590,41.522660
163.569820-121.826590,41.743230
163.774640-121.826590,41.948050
166.003990-121.826590,44.177400
166.791750-121.826590,44.965160
166.815380-121.826590,44.988790
166.886280-121.826590,45.059690
166.941420-121.826590,45.114830
166.972930-121.826590,45.146340
167.020200-121.826590,45.193610
167.059580-121.826590,45.232990
167.091090-121.826590,45.264500
167.114730-121.826590,45.288140
167.130480-121.826590,45.303890
167.240770-121.826590,45.414180
167.256520-121.826590,45.429930
167.280160-121.826590,45.453570
168.367260-121.826590,46.540670
168.383020-121.826590,46.556430
168.556320-121.826590,46.729730
168.579950-121.826590,46.753360
168.595710-121.826590,46.769120
168.627220-121.826590,46.800630
168.650850-121.826590,46.824260
168.690240-121.826590,46.863650
168.706000-121.826590,46.879410
168.721750-121.826590,46.895160
168.745380-121.826590,46.918790
168.761140-121.826590,46.934550
168.776890-121.826590,46.950300
168.800530-121.826590,46.973940
168.816280-121.826590,46.989690
168.832040-121.826590,47.005450
168.863550-121.826590,47.036960
168.895060-121.826590,47.068470
169.013220-121.826590,47.186630
170.832940-121.826590,49.006350
172.833840-121.826590,51.007250
172.865350-121.826590,51.038760
173.093800-121.826590,51.267210
173.259230-121.826590,51.432640
173.282860-121.826590,51.456270
173.298620-121.826590,51.472030
174.929270-121.826590,53.102680
174.952910-121.826590,53.126320
174.968660-121.826590,53.142070
174.984420-121.826590,53.157830
175.015930-121.826590,53.189340
175.055320-121.826590,53.228730
175.086830-121.826590,53.260240
175.110460-121.826590,53.283870
175.228620-121.826590,53.402030
175.260130-121.826590,53.433540
175.291640-121.826590,53.465050
176.181810-121.826590,54.355220
176.197560-121.826590,54.370970
176.221200-121.826590,54.394610
176.284220-121.826590,54.457630
176.299970-121.826590,54.473380
176.339360-121.826590,54.512770
176.362990-121.826590,54.536400
176.394500-121.826590,54.567910
176.457520-121.826590,54.630930
176.591440-121.826590,54.764850
176.615070-121.826590,54.788480
176.630830-121.826590,54.804240
176.646580-121.826590,54.819990
179.049240-121.826590,57.222650
180.396310-121.826590,58.569720
180.577490-121.826590,58.750900
180.616880-121.826590,58.790290
180.648390-121.826590,58.821800
180.664140-121.826590,58.837550
180.687780-121.826590,58.861190
180.711410-121.826590,58.884820
180.742920-121.826590,58.916330
180.758670-121.826590,58.932080
180.782310-121.826590,58.955720
180.884720-121.826590,59.058130
180.955610-121.826590,59.129020
180.971370-121.826590,59.144780
180.995000-121.826590,59.168410
181.010760-121.826590,59.184170
181.034390-121.826590,59.207800
181.050140-121.826590,59.223550
181.097410-121.826590,59.270820
181.302230-121.826590,59.475640
182.247540-121.826590,60.420950
182.286920-121.826590,60.460330
182.302680-121.826590,60.476090
182.334190-121.826590,60.507600
182.357820-121.826590,60.531230
182.373580-121.826590,60.546990
182.412960-121.826590,60.586370
182.428720-121.826590,60.602130
182.460230-121.826590,60.633640
182.491740-121.826590,60.665150
182.515370-121.826590,60.688780
182.531130-121.826590,60.704540
182.546880-121.826590,60.720290
182.570520-121.826590,60.743930
182.594150-121.826590,60.767560
182.609900-121.826590,60.783310
184.634440-121.826590,62.807850
186.997710-121.826590,65.171120
187.013460-121.826590,65.186870
187.029220-121.826590,65.202630
187.052850-121.826590,65.226260
187.391590-121.826590,65.565000
187.430970-121.826590,65.604380
187.454610-121.826590,65.628020
187.470360-121.826590,65.643770
188.943470-121.826590,67.116880
188.967100-121.826590,67.140510
188.990730-121.826590,67.164140
189.022240-121.826590,67.195650
189.038000-121.826590,67.211410
189.053750-121.826590,67.227160
189.069510-121.826590,67.242920
189.085260-121.826590,67.258670
189.108900-121.826590,67.282310
189.148280-121.826590,67.321690
189.164040-121.826590,67.337450
189.195550-121.826590,67.368960
189.219180-121.826590,67.392590
189.258570-121.826590,67.431980
189.290080-121.826590,67.463490
189.329470-121.826590,67.502880
189.345220-121.826590,67.518630
190.755310-121.826590,68.928720
190.794700-121.826590,68.968110
190.889230-121.826590,69.062640
191.164940-121.826590,69.338350
191.188570-121.826590,69.361980
193.748780-121.826590,71.922190
194.119030-121.826590,72.292440
194.284460-121.826590,72.457870
194.323850-121.826590,72.497260
194.339600-121.826590,72.513010
194.363230-121.826590,72.536640
194.410500-121.826590,72.583910
194.434130-121.826590,72.607540
194.489280-121.826590,72.662690
194.512910-121.826590,72.686320
194.528660-121.826590,72.702070
194.583810-121.826590,72.757220
194.599560-121.826590,72.772970
194.623190-121.826590,72.796600
194.638950-121.826590,72.812360
195.080090-121.826590,73.253500
195.796950-121.826590,73.970360
195.836340-121.826590,74.009750
195.875730-121.826590,74.049140
195.899360-121.826590,74.072770
195.915120-121.826590,74.088530
195.930870-121.826590,74.104280
195.954500-121.826590,74.127910
196.001770-121.826590,74.175180
196.025400-121.826590,74.198810
196.041160-121.826590,74.214570
196.056910-121.826590,74.230320
196.080540-121.826590,74.253950
196.112050-121.826590,74.285460
196.127810-121.826590,74.301220
196.151440-121.826590,74.324850
196.167200-121.826590,74.340610
196.198710-121.826590,74.372120
196.245970-121.826590,74.419380
196.450790-121.826590,74.624200
200.247780-121.826590,78.421190
200.263530-121.826590,78.436940
200.633780-121.826590,78.807190
200.649530-121.826590,78.822940
200.681040-121.826590,78.854450
202.461370-121.826590,80.634780
202.532270-121.826590,80.705680
202.603170-121.826590,80.776580
202.626800-121.826590,80.800210
202.721330-121.826590,80.894740
202.737090-121.826590,80.910500
202.752840-121.826590,80.926250
202.776480-121.826590,80.949890
202.792230-121.826590,80.965640
202.823740-121.826590,80.997150
202.847380-121.826590,81.020790
202.894640-121.826590,81.068050
202.918270-121.826590,81.091680
202.941910-121.826590,81.115320
202.957660-121.826590,81.131070
202.997050-121.826590,81.170460
204.533170-121.826590,82.706580
204.572560-121.826590,82.745970
204.911300-121.826590,83.084710
204.927050-121.826590,83.100460
204.942810-121.826590,83.116220
208.007180-121.826590,86.180590
208.148980-121.826590,86.322390
208.172610-121.826590,86.346020
208.314410-121.826590,86.487820
209.771760-121.826590,87.945170
209.787510-121.826590,87.960920
