Index,Frequency (microHz),Amplitude (dB),Distance from central (samples)
15225,122.69112000,4445.81450000,6
15227,122.70724000,4066.91830000,8
15229,122.72336000,2963.34730000,10
15231,122.73947000,983.29307000,12
15237,122.78782000,1626.35520000,18
15240,122.81200000,3414.27280000,21
15244,122.84423000,1111.72700000,25
15248,122.87647000,1926.19330000,29
15252,122.90870000,1171.09420000,33
15255,122.93288000,2315.54030000,36
15266,123.02152000,803.30927000,47
15431,124.35118000,808.67846000,212
15488,124.81052000,1056.50620000,269
15493,124.85081000,865.49300000,274
15549,125.30209000,813.52855000,330
15644,126.06765000,732.45894000,425
15677,126.33358000,884.58249000,458
15681,126.36581000,2281.90050000,462
15683,126.38193000,1275.41580000,464
15769,127.07496000,1303.08460000,550
15791,127.25225000,768.62505000,572
15804,127.35701000,1898.36310000,585
15808,127.38925000,5640.87280000,589
15811,127.41342000,4883.02040000,592
15813,127.42954000,7004.61950000,594
15815,127.44566000,5251.19300000,596
15820,127.48595000,1642.35800000,601
15863,127.83246000,663.45783000,644
15865,127.84858000,833.11790000,646
15875,127.92917000,696.89483000,656
15877,127.94528000,1133.82680000,658
15883,127.99364000,893.07589000,664
15889,128.04199000,7985.86140000,670
15891,128.05810000,9957.39220000,672
15895,128.09034000,3031.93770000,676
15897,128.10645000,11027.75700000,678
15900,128.13063000,2237.78950000,681
15903,128.15481000,2471.43930000,684
15934,128.40462000,934.42630000,715
16018,129.08154000,2568.73100000,799
16021,129.10571000,752.10352000,802
16024,129.12989000,1706.78210000,805
16271,131.12034000,1384.01500000,1052
16274,131.14452000,4264.00270000,1055
16294,131.30569000,783.40652000,1075
16296,131.32181000,1407.90430000,1077
16298,131.33793000,1091.82890000,1079
16302,131.37016000,756.58408000,1083
16305,131.39433000,1265.93790000,1086
16308,131.41851000,1866.32920000,1089
16312,131.45074000,2414.39990000,1093
16315,131.47492000,1433.84920000,1096
16318,131.49910000,2356.88860000,1099
16320,131.51521000,2107.66160000,1101
16329,131.58774000,2010.96850000,1110
16332,131.61192000,5259.29800000,1113
16392,132.09543000,828.28521000,1173
16408,132.22436000,1061.24240000,1189
16425,132.36136000,693.91375000,1206
16430,132.40165000,1293.45070000,1211
16432,132.41777000,2070.19100000,1213
16435,132.44194000,1207.75340000,1216
16437,132.45806000,940.98722000,1218
16439,132.47418000,1696.35820000,1220
16441,132.49030000,1743.98530000,1222
16445,132.52253000,3520.40080000,1226
16447,132.53865000,3542.79630000,1228
16449,132.55476000,4325.44960000,1230
16454,132.59506000,1874.86340000,1235
16457,132.61923000,1662.05600000,1238
16461,132.65147000,3143.04970000,1242
16465,132.68370000,1733.25320000,1246
16472,132.74011000,4986.87270000,1253
16475,132.76429000,1652.10410000,1256
16477,132.78040000,1900.67220000,1258
16484,132.83681000,3652.05840000,1265
16486,132.85293000,984.11176000,1267
16489,132.87710000,679.93656000,1270
16493,132.90934000,796.79625000,1274
16747,134.95621000,1009.14350000,1528
16995,136.95472000,778.81889000,1776
17000,136.99501000,2015.16700000,1781
17094,137.75252000,1739.06020000,1875
17102,137.81698000,749.57245000,1883
17104,137.83310000,4086.09040000,1885
17106,137.84922000,2002.24820000,1887
17108,137.86533000,3646.21070000,1889
17111,137.88951000,3697.86330000,1892
17113,137.90563000,1637.55100000,1894
17115,137.92174000,1392.85200000,1896
17119,137.95398000,751.00669000,1900
17122,137.97815000,2419.02590000,1903
17127,138.01845000,999.27932000,1908
17132,138.05874000,1024.18050000,1913
17222,138.78401000,2603.36590000,2003
17226,138.81624000,773.17167000,2007
17499,141.01622000,804.72896000,2280
17548,141.41109000,691.77002000,2329
17562,141.52391000,763.85803000,2343
