Pair,Delta (microHz)
107.952070-101.215140,6.736930
107.968190-101.215140,6.753050
108.016540-101.215140,6.801400
108.056830-101.215140,6.841690
108.459760-101.215140,7.244620
108.580640-101.215140,7.365500
108.612870-101.215140,7.397730
108.637050-101.215140,7.421910
109.475130-101.215140,8.259990
110.007000-101.215140,8.791860
111.135190-101.215140,9.920050
111.159370-101.215140,9.944230
111.183540-101.215140,9.968400
111.199660-101.215140,9.984520
111.223830-101.215140,10.008690
111.256070-101.215140,10.040930
111.272190-101.215140,10.057050
111.288300-101.215140,10.073160
111.320540-101.215140,10.105400
111.344710-101.215140,10.129570
111.376950-101.215140,10.161810
111.401120-101.215140,10.185980
111.417240-101.215140,10.202100
111.441410-101.215140,10.226270
111.457530-101.215140,10.242390
111.473650-101.215140,10.258510
111.522000-101.215140,10.306860
111.538120-101.215140,10.322980
111.554230-101.215140,10.339090
111.578410-101.215140,10.363270
111.667050-101.215140,10.451910
111.852400-101.215140,10.637260
112.029690-101.215140,10.814550
112.053860-101.215140,10.838720
112.263380-101.215140,11.048240
112.360090-101.215140,11.144950
112.376200-101.215140,11.161060
112.440670-101.215140,11.225530
112.489020-101.215140,11.273880
112.529320-101.215140,11.314180
112.561550-101.215140,11.346410
112.593780-101.215140,11.378640
112.626020-101.215140,11.410880
112.682430-101.215140,11.467290
112.698540-101.215140,11.483400
112.730780-101.215140,11.515640
112.883890-101.215140,11.668750
113.834800-101.215140,12.619660
114.213550-101.215140,12.998410
114.834060-101.215140,13.618920
116.179830-101.215140,14.964690
116.212060-101.215140,14.996920
116.856750-101.215140,15.641610
117.090440-101.215140,15.875300
117.138790-101.215140,15.923650
117.171030-101.215140,15.955890
117.187150-101.215140,15.972010
117.211320-101.215140,15.996180
117.227440-101.215140,16.012300
117.573960-101.215140,16.358820
117.598130-101.215140,16.382990
117.638420-101.215140,16.423280
117.735130-101.215140,16.519990
117.751240-101.215140,16.536100
117.767360-101.215140,16.552220
117.807650-101.215140,16.592510
117.823770-101.215140,16.608630
117.839890-101.215140,16.624750
117.856000-101.215140,16.640860
117.880180-101.215140,16.665040
117.904360-101.215140,16.689220
117.936590-101.215140,16.721450
117.968820-101.215140,16.753680
117.993000-101.215140,16.777860
118.017170-101.215140,16.802030
118.049410-101.215140,16.834270
118.073580-101.215140,16.858440
118.194460-101.215140,16.979320
118.234760-101.215140,17.019620
118.266990-101.215140,17.051850
118.468450-101.215140,17.253310
118.508750-101.215140,17.293610
118.540980-101.215140,17.325840
118.581270-101.215140,17.366130
118.613510-101.215140,17.398370
118.718270-101.215140,17.503130
118.806910-101.215140,17.591770
119.548300-101.215140,18.333160
120.628140-101.215140,19.413000
120.950480-101.215140,19.735340
121.047180-101.215140,19.832040
121.111650-101.215140,19.896510
121.127770-101.215140,19.912630
121.200290-101.215140,19.985150
121.216410-101.215140,20.001270
121.248650-101.215140,20.033510
121.288940-101.215140,20.073800
121.321170-101.215140,20.106030
121.353410-101.215140,20.138270
121.369520-101.215140,20.154380
121.385640-101.215140,20.170500
121.417870-101.215140,20.202730
